epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.002,1.00789,2.27401,1.07834,1,0.98318,0.99492,0.72309,0.90083,2.6465,1.03354,0.00066,0.00066,0.00066
2,753.895,0.96978,1.44468,1.11492,1,0.99076,0.995,0.79317,0.70732,1.11911,0.96223,0.00106399,0.00106399,0.00106399
3,1128.59,0.90828,1.00313,1.07319,0.98983,0.98485,0.9947,0.82888,0.67289,0.87923,0.91822,0.00120397,0.00120397,0.00120397
4,1462.15,0.83372,0.76757,1.05536,0.98432,0.95118,0.98358,0.87069,0.52574,0.63418,0.86539,0.000812,0.000812,0.000812
5,1799.44,0.69401,0.62244,0.9964,0.99882,0.99242,0.995,0.89988,0.42912,0.50942,0.81999,0.000416,0.000416,0.000416
