id,x,y,w,h,score,area,energy,mask_file,crop
128,564,0,336,600,0.1440370370367703,77780,0.3827814569536424,7_mask_128.png,7_crop_128.jpg
129,553,0,347,600,0.12632962962939567,68218,0.38341463414634147,7_mask_129.png,7_crop_129.jpg
130,576,0,324,600,0.13835185185159565,74710,0.3841834347215723,7_mask_130.png,7_crop_130.jpg
131,564,81,336,519,0.1067148148146172,57626,0.3850746268656716,7_mask_131.png,7_crop_131.jpg
132,573,0,327,600,0.14499814814787962,78299,0.3863453815261044,7_mask_132.png,7_crop_132.jpg
133,596,0,304,414,0.10528888888869391,56856,0.3870967741935484,7_mask_133.png,7_crop_133.jpg
134,249,180,651,420,0.14417777777751078,77856,0.38807339449541284,7_mask_134.png,7_crop_134.jpg
135,215,180,685,420,0.18790740740705944,101470,0.3883282141290039,7_mask_135.png,7_crop_135.jpg
136,686,180,214,420,0.07427222222208468,40107,0.39150401836969,7_mask_136.png,7_crop_136.jpg
137,320,0,184,70,0.011466666666645432,6192,0.39285714285714285,7_mask_137.png,7_crop_137.jpg
138,0,28,203,418,0.049005555555464805,26463,0.3935018050541516,7_mask_138.png,7_crop_138.jpg
139,714,356,186,201,0.03253888888882863,17571,0.39444444444444443,7_mask_139.png,7_crop_139.jpg
140,576,398,324,202,0.046277777777692077,24990,0.39655172413793105,7_mask_140.png,7_crop_140.jpg
141,254,201,646,399,0.168731481481169,91115,0.3973384030418251,7_mask_141.png,7_crop_141.jpg
142,249,180,651,420,0.13859259259233594,74840,0.39759036144578314,7_mask_142.png,7_crop_142.jpg
143,293,201,607,399,0.14845185185157694,80164,0.3976961053208996,7_mask_143.png,7_crop_143.jpg
144,289,231,480,369,0.06805555555542953,36750,0.39875111507582517,7_mask_144.png,7_crop_144.jpg
145,289,219,611,381,0.10133888888870123,54723,0.3991468616697136,7_mask_145.png,7_crop_145.jpg
146,254,180,646,420,0.14251666666640275,76959,0.399540757749713,7_mask_146.png,7_crop_146.jpg
147,215,0,685,600,0.2333629629625308,126016,0.3996557659208262,7_mask_147.png,7_crop_147.jpg
148,215,180,685,420,0.18341111111077146,99042,0.40018399264029436,7_mask_148.png,7_crop_148.jpg
149,564,219,336,381,0.07468703703689873,40331,0.4019607843137255,7_mask_149.png,7_crop_149.jpg
150,686,201,214,399,0.0614537037035899,33185,0.40236686390532544,7_mask_150.png,7_crop_150.jpg
151,289,489,268,111,0.02087407407403542,11272,0.40298507462686567,7_mask_151.png,7_crop_151.jpg
152,564,180,336,420,0.09277962962945781,50101,0.4051724137931034,7_mask_152.png,7_crop_152.jpg
153,566,369,203,231,0.023681481481437627,12788,0.40669856459330145,7_mask_153.png,7_crop_153.jpg
154,455,201,445,399,0.1055981481479526,57023,0.4073560027758501,7_mask_154.png,7_crop_154.jpg
155,215,180,685,420,0.19764444444407844,106728,0.4086661002548853,7_mask_155.png,7_crop_155.jpg
156,377,476,288,124,0.02216296296292192,11968,0.408955223880597,7_mask_156.png,7_crop_156.jpg
157,254,201,646,399,0.11906111111089063,64293,0.40915593705293274,7_mask_157.png,7_crop_157.jpg
158,0,354,304,246,0.05767592592581912,31145,0.41097424412094063,7_mask_158.png,7_crop_158.jpg
159,596,0,304,484,0.09950555555537129,53733,0.41222879684418146,7_mask_159.png,7_crop_159.jpg
160,167,126,208,126,0.015081481481453553,8144,0.4152542372881356,7_mask_160.png,7_crop_160.jpg
161,690,201,210,399,0.06143148148136772,33173,0.41590612777053454,7_mask_161.png,7_crop_161.jpg
162,215,180,685,420,0.16883333333302067,91170,0.41808785529715764,7_mask_162.png,7_crop_162.jpg
163,695,201,205,399,0.05663148148137661,30581,0.4187192118226601,7_mask_163.png,7_crop_163.jpg
164,215,180,685,420,0.1715685185182008,92647,0.41905737704918034,7_mask_164.png,7_crop_164.jpg
165,0,315,177,285,0.028857407407353968,15583,0.41968911917098445,7_mask_165.png,7_crop_165.jpg
166,0,315,111,273,0.024001851851807404,12961,0.42153846153846153,7_mask_166.png,7_crop_166.jpg
167,0,185,124,104,0.013212962962938495,7135,0.42168674698795183,7_mask_167.png,7_crop_167.jpg
168,289,81,611,519,0.09614629629611825,51919,0.4240422721268164,7_mask_168.png,7_crop_168.jpg
169,337,476,220,124,0.01533148148145309,8279,0.4248927038626609,7_mask_169.png,7_crop_169.jpg
170,189,201,711,399,0.12140740740718257,65560,0.42731277533039647,7_mask_170.png,7_crop_170.jpg
171,115,201,785,399,0.14712777777750533,79449,0.4300822561692127,7_mask_171.png,7_crop_171.jpg
172,215,144,685,456,0.12807962962939246,69163,0.430939226519337,7_mask_172.png,7_crop_172.jpg
173,377,476,337,124,0.027742592592541217,14981,0.4314214463840399,7_mask_173.png,7_crop_173.jpg
174,619,231,150,369,0.028429629629576982,15352,0.43478260869565216,7_mask_174.png,7_crop_174.jpg
175,566,0,334,600,0.10305185185166102,55648,0.43814747105423524,7_mask_175.png,7_crop_175.jpg
176,335,436,231,164,0.022475925925884304,12137,0.4405144694533762,7_mask_176.png,7_crop_176.jpg
177,566,0,293,600,0.09114259259242381,49217,0.4412171507607192,7_mask_177.png,7_crop_177.jpg
178,575,477,182,123,0.015464814814786176,8351,0.4430379746835443,7_mask_178.png,7_crop_178.jpg
179,337,459,229,141,0.018427777777743654,9951,0.4432234432234432,7_mask_179.png,7_crop_179.jpg
180,215,144,685,456,0.1826851851848469,98650,0.4447646493756004,7_mask_180.png,7_crop_180.jpg
181,337,486,183,114,0.012633333333309939,6822,0.44565217391304346,7_mask_181.png,7_crop_181.jpg
182,258,79,370,166,0.029048148148094356,15686,0.4472573839662447,7_mask_182.png,7_crop_182.jpg
183,0,262,310,338,0.057057407407301745,30811,0.44971098265895953,7_mask_183.png,7_crop_183.jpg
184,289,489,184,111,0.013599999999974815,7344,0.45023696682464454,7_mask_184.png,7_crop_184.jpg
185,337,439,229,161,0.02081296296292442,11239,0.45098039215686275,7_mask_185.png,7_crop_185.jpg
186,603,0,256,290,0.03635370370363638,19631,0.4548802946593002,7_mask_186.png,7_crop_186.jpg
187,0,142,147,328,0.029929629629574205,16162,0.4574898785425101,7_mask_187.png,7_crop_187.jpg
188,553,312,204,218,0.0164333333333029,8874,0.45874587458745875,7_mask_188.png,7_crop_188.jpg
189,653,0,247,398,0.05493518518508345,29665,0.4590952839268527,7_mask_189.png,7_crop_189.jpg
190,596,0,263,357,0.0580462962961888,31345,0.45951859956236324,7_mask_190.png,7_crop_190.jpg
191,605,0,295,398,0.06832592592579939,36896,0.4633744855967078,7_mask_191.png,7_crop_191.jpg
192,113,106,417,188,0.0373333333332642,20160,0.46557377049180326,7_mask_192.png,7_crop_192.jpg
193,610,0,290,398,0.061855555555441005,33402,0.4656222802436902,7_mask_193.png,7_crop_193.jpg
194,581,231,188,369,0.03317222222216079,17913,0.46785714285714286,7_mask_194.png,7_crop_194.jpg
195,614,0,286,378,0.07570555555541536,40881,0.4682080924855491,7_mask_195.png,7_crop_195.jpg
196,727,201,173,379,0.047235185185097714,25507,0.4708171206225681,7_mask_196.png,7_crop_196.jpg
197,67,318,199,188,0.017144444444412696,9258,0.47101449275362317,7_mask_197.png,7_crop_197.jpg
198,167,126,268,165,0.021140740740701592,11416,0.4729241877256318,7_mask_198.png,7_crop_198.jpg
199,205,109,230,182,0.017522222222189774,9462,0.47413793103448276,7_mask_199.png,7_crop_199.jpg
