epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,28.9813,2.90543,5.53442,4.23836,0,0,0,0,3.38527,5.97594,4.15753,2.96935e-05,2.96935e-05,2.96935e-05
47,29.5712,2.96843,5.56795,4.26652,0,0,0,0,3.38548,5.97609,4.15771,2.98114e-05,2.98114e-05,2.98114e-05
48,30.1624,3.01282,5.46729,4.23183,0,0,0,0,3.38548,5.97609,4.15771,2.99058e-05,2.99058e-05,2.99058e-05
49,30.7547,3.33926,5.72853,4.21021,0,0,0,0,3.38571,5.97625,4.15797,2.99766e-05,2.99766e-05,2.99766e-05
50,31.3166,3.25919,5.39044,4.18297,0,0,0,0,3.38571,5.97625,4.15797,3.00238e-05,3.00238e-05,3.00238e-05
51,31.9036,2.92376,5.76084,4.25443,0,0,0,0,3.38591,5.97649,4.15814,3.00475e-05,3.00475e-05,3.00475e-05
52,32.4745,3.20772,5.48693,4.19349,0,0,0,0,3.38591,5.97649,4.15814,3.00476e-05,3.00476e-05,3.00476e-05
53,33.1258,3.4365,6.03663,4.23847,0,0,0,0,3.38591,5.97649,4.15814,3.00242e-05,3.00242e-05,3.00242e-05
54,33.7254,3.59514,5.5705,4.27099,0,0,0,0,3.38613,5.97693,4.15853,2.99772e-05,2.99772e-05,2.99772e-05
55,34.2902,3.1196,5.78667,4.26421,0,0,0,0,3.38613,5.97693,4.15853,2.99066e-05,2.99066e-05,2.99066e-05
56,34.8524,3.54496,5.49072,4.20845,0,0,0,0,3.38613,5.97693,4.15853,2.98125e-05,2.98125e-05,2.98125e-05
57,35.4535,2.97349,5.54253,4.21565,0,0,0,0,3.38635,5.97722,4.15896,2.96948e-05,2.96948e-05,2.96948e-05
58,36.0147,2.95857,5.50717,4.1842,0,0,0,0,3.38635,5.97722,4.15896,2.95535e-05,2.95535e-05,2.95535e-05
59,36.5776,2.79611,5.46927,4.21557,0,0,0,0,3.38635,5.97722,4.15896,2.93887e-05,2.93887e-05,2.93887e-05
60,37.1875,3.03211,5.50988,4.36725,0,0,0,0,3.38653,5.97737,4.15943,2.92003e-05,2.92003e-05,2.92003e-05
61,37.7701,3.30125,5.58506,4.24449,0,0,0,0,3.38653,5.97737,4.15943,2.89884e-05,2.89884e-05,2.89884e-05
62,38.46,3.49107,5.59667,4.25799,0,0,0,0,3.38653,5.97737,4.15943,2.87529e-05,2.87529e-05,2.87529e-05
63,39.0691,3.35011,5.50472,4.24562,0,0,0,0,3.38679,5.9781,4.15999,2.84938e-05,2.84938e-05,2.84938e-05
64,39.6835,3.36877,5.42342,4.23831,0,0,0,0,3.38679,5.9781,4.15999,2.82112e-05,2.82112e-05,2.82112e-05
65,40.2823,2.87,5.58101,4.26008,0,0,0,0,3.38679,5.9781,4.15999,2.7905e-05,2.7905e-05,2.7905e-05
66,40.8782,3.3229,5.74664,4.2155,0,0,0,0,3.38695,5.97781,4.16053,2.75753e-05,2.75753e-05,2.75753e-05
67,41.4522,3.42411,5.30657,4.25775,0,0,0,0,3.38695,5.97781,4.16053,2.7222e-05,2.7222e-05,2.7222e-05
68,42.0875,3.3112,5.44051,4.23622,0,0,0,0,3.38695,5.97781,4.16053,2.68451e-05,2.68451e-05,2.68451e-05
69,42.7722,3.06184,5.75175,4.19163,0,0,0,0,3.3871,5.97743,4.16109,2.64447e-05,2.64447e-05,2.64447e-05
70,43.4322,3.56174,5.70247,4.30363,0,0,0,0,3.3871,5.97743,4.16109,2.60207e-05,2.60207e-05,2.60207e-05
