id,x,y,w,h,score,area,energy,mask_file,crop
0,368,404,272,35,0.031691343963440734,8904,0.10638297872340426,2_mask_000.png,2_crop_000.jpg
1,374,404,266,35,0.014706719817715309,4132,0.2,2_mask_001.png,2_crop_001.jpg
2,0,376,640,63,0.08191201594503875,23014,0.2,2_mask_002.png,2_crop_002.jpg
3,117,403,523,36,0.04062855922536792,11415,0.21052631578947367,2_mask_003.png,2_crop_003.jpg
4,0,0,640,378,0.3544241173108114,99579,0.2140845070422535,2_mask_004.png,2_crop_004.jpg
5,0,0,640,380,0.47015589407577535,132095,0.23440643863179075,2_mask_005.png,2_crop_005.jpg
6,0,0,640,378,0.4410841400895462,123927,0.24388919065725148,2_mask_006.png,2_crop_006.jpg
7,0,0,640,380,0.44259681093236547,124352,0.27856365614798695,2_mask_007.png,2_crop_007.jpg
8,0,297,640,142,0.0911588838265548,25612,0.2864321608040201,2_mask_008.png,2_crop_008.jpg
9,368,404,272,35,0.026541144646830363,7457,0.3157894736842105,2_mask_009.png,2_crop_009.jpg
10,368,410,272,29,0.025982346241365382,7300,0.3333333333333333,2_mask_010.png,2_crop_010.jpg
11,0,119,640,317,0.25304669703782373,71096,0.35130970724191063,2_mask_011.png,2_crop_011.jpg
12,0,0,640,389,0.2524701025047962,70934,0.3524355300859599,2_mask_012.png,2_crop_012.jpg
13,117,403,523,36,0.03527192482903163,9910,0.35384615384615387,2_mask_013.png,2_crop_013.jpg
14,286,19,99,107,0.018988468109271822,5335,0.3563218390804598,2_mask_014.png,2_crop_014.jpg
15,0,406,335,33,0.030993735762987636,8708,0.36363636363636365,2_mask_015.png,2_crop_015.jpg
16,0,0,640,389,0.3444120159441044,96766,0.36856010568031705,2_mask_016.png,2_crop_016.jpg
17,117,405,523,34,0.035357346241332015,9934,0.37254901960784315,2_mask_017.png,2_crop_017.jpg
18,0,0,640,395,0.3598056662857353,101091,0.373510861948143,2_mask_018.png,2_crop_018.jpg
19,0,0,440,375,0.1754626993160042,49298,0.37976782752902155,2_mask_019.png,2_crop_019.jpg
20,313,94,327,287,0.12053673120686027,33866,0.3896296296296296,2_mask_020.png,2_crop_020.jpg
21,0,0,640,395,0.4414080296111852,124018,0.39072847682119205,2_mask_021.png,2_crop_021.jpg
22,286,19,91,107,0.01687784738034995,4742,0.3924050632911392,2_mask_022.png,2_crop_022.jpg
23,20,0,342,154,0.07875498291543723,22127,0.3933649289099526,2_mask_023.png,2_crop_023.jpg
24,20,0,380,244,0.11877491457816496,33371,0.39853300733496333,2_mask_024.png,2_crop_024.jpg
25,0,0,456,380,0.21150341685573923,59424,0.4024896265560166,2_mask_025.png,2_crop_025.jpg
26,20,0,620,173,0.16461773917936853,46251,0.41116751269035534,2_mask_026.png,2_crop_026.jpg
27,0,157,640,279,0.2003488040995147,56290,0.41222879684418146,2_mask_027.png,2_crop_027.jpg
28,224,8,172,147,0.024231207289207603,6808,0.41732283464566927,2_mask_028.png,2_crop_028.jpg
29,20,0,380,375,0.1379698177671627,38764,0.4174757281553398,2_mask_029.png,2_crop_029.jpg
