id,x,y,w,h,score,area,energy,mask_file,crop
0,420,0,220,384,0.254195149738549,62471,0.08041237113402062,6_mask_000.png,6_crop_000.jpg
1,266,0,232,384,0.18478190104091477,45412,0.12582781456953643,6_mask_001.png,6_crop_001.jpg
2,40,0,600,384,0.580480957028888,142659,0.16851311953352768,6_mask_002.png,6_crop_002.jpg
3,238,0,273,384,0.22197672525951342,54553,0.17328519855595667,6_mask_003.png,6_crop_003.jpg
4,266,0,190,384,0.1523274739577135,37436,0.18498659517426275,6_mask_004.png,6_crop_004.jpg
5,238,0,402,384,0.24896240234273695,61185,0.21172638436482086,6_mask_005.png,6_crop_005.jpg
6,99,0,399,384,0.35911865234228874,88257,0.21284185493460167,6_mask_006.png,6_crop_006.jpg
7,432,0,208,348,0.20588378906166224,50598,0.21428571428571427,6_mask_007.png,6_crop_007.jpg
8,79,0,561,384,0.44303385416486396,108880,0.21869488536155202,6_mask_008.png,6_crop_008.jpg
9,99,0,412,384,0.37270507812348347,91596,0.22641509433962265,6_mask_009.png,6_crop_009.jpg
10,40,0,600,384,0.49124348958133446,120728,0.22898154477101845,6_mask_010.png,6_crop_010.jpg
11,420,0,220,384,0.21757812499911466,53472,0.23177723177723178,6_mask_011.png,6_crop_011.jpg
12,432,0,208,298,0.1484049479160628,36472,0.23553719008264462,6_mask_012.png,6_crop_012.jpg
13,432,0,208,348,0.1815022786450948,44606,0.24011039558417663,6_mask_013.png,6_crop_013.jpg
14,432,0,208,348,0.19935302734293883,48993,0.24090121317157712,6_mask_014.png,6_crop_014.jpg
15,432,0,208,298,0.1522298177077139,37412,0.24195223260643822,6_mask_015.png,6_crop_015.jpg
16,90,0,421,384,0.34855550130066504,85661,0.24363636363636362,6_mask_016.png,6_crop_016.jpg
17,286,0,149,384,0.09366861979128553,23020,0.24390243902439024,6_mask_017.png,6_crop_017.jpg
18,432,0,208,348,0.17500406900970455,43009,0.24427480916030533,6_mask_018.png,6_crop_018.jpg
19,266,0,232,384,0.1596923828118502,39246,0.24929971988795518,6_mask_019.png,6_crop_019.jpg
20,90,0,550,384,0.38890787760258416,95578,0.25274725274725274,6_mask_020.png,6_crop_020.jpg
21,266,0,218,384,0.1299397786453046,31934,0.25748502994011974,6_mask_021.png,6_crop_021.jpg
22,105,0,406,384,0.32457682291534595,79768,0.2608695652173913,6_mask_022.png,6_crop_022.jpg
23,99,0,412,384,0.39038085937341155,95940,0.2613240418118467,6_mask_023.png,6_crop_023.jpg
24,432,0,208,348,0.16254882812433857,39948,0.26169154228855723,6_mask_024.png,6_crop_024.jpg
25,63,0,577,384,0.42205810546703265,103725,0.26785714285714285,6_mask_025.png,6_crop_025.jpg
26,266,0,190,384,0.1242309570307445,30531,0.2688821752265861,6_mask_026.png,6_crop_026.jpg
27,420,0,220,384,0.21586507161370497,53051,0.27056672760511885,6_mask_027.png,6_crop_027.jpg
28,266,0,198,384,0.14010823567651323,34433,0.2732919254658385,6_mask_028.png,6_crop_028.jpg
29,432,0,208,348,0.1576456705722752,38743,0.2915811088295688,6_mask_029.png,6_crop_029.jpg
30,99,0,412,384,0.3374837239569601,82940,0.29315068493150687,6_mask_030.png,6_crop_030.jpg
31,286,0,149,384,0.08200683593716632,20154,0.3008849557522124,6_mask_031.png,6_crop_031.jpg
32,99,0,541,384,0.3999918619775391,98302,0.3023782559456399,6_mask_032.png,6_crop_032.jpg
33,286,234,92,150,0.03120930989570634,7670,0.30666666666666664,6_mask_033.png,6_crop_033.jpg
34,420,0,220,384,0.19561767578045403,48075,0.31417979610750696,6_mask_034.png,6_crop_034.jpg
35,286,0,198,365,0.10692952473914823,26279,0.3217993079584775,6_mask_035.png,6_crop_035.jpg
36,438,0,202,253,0.10423583984332586,25617,0.3224043715846995,6_mask_036.png,6_crop_036.jpg
37,420,0,220,384,0.1927083333325492,47360,0.32409381663113007,6_mask_037.png,6_crop_037.jpg
38,432,0,208,348,0.18689778645757285,45932,0.3281767955801105,6_mask_038.png,6_crop_038.jpg
39,432,0,208,283,0.1312296549473827,32251,0.3333333333333333,6_mask_039.png,6_crop_039.jpg
40,420,0,220,384,0.17634277343678245,43338,0.3509127789046653,6_mask_040.png,6_crop_040.jpg
41,0,187,123,197,0.050634765624793965,12444,0.3548387096774194,6_mask_041.png,6_crop_041.jpg
42,126,0,385,384,0.2974731445300396,73107,0.35655058043117743,6_mask_042.png,6_crop_042.jpg
43,0,107,123,277,0.07819417317676516,19217,0.36486486486486486,6_mask_043.png,6_crop_043.jpg
44,266,0,198,384,0.10323079427041329,25370,0.36492890995260663,6_mask_044.png,6_crop_044.jpg
45,420,0,220,384,0.1822021484367586,44778,0.36830601092896176,6_mask_045.png,6_crop_045.jpg
46,142,220,65,77,0.01004231770829247,2468,0.37037037037037035,6_mask_046.png,6_crop_046.jpg
47,432,0,208,336,0.1537475585931244,37785,0.38100558659217876,6_mask_047.png,6_crop_047.jpg
48,0,107,123,277,0.07779134114551679,19118,0.38148984198645597,6_mask_048.png,6_crop_048.jpg
49,312,297,152,87,0.02266438802074111,5570,0.391304347826087,6_mask_049.png,6_crop_049.jpg
50,99,0,137,384,0.09590250651002644,23569,0.4008097165991903,6_mask_050.png,6_crop_050.jpg
51,99,17,116,367,0.07548014322885953,18550,0.40096618357487923,6_mask_051.png,6_crop_051.jpg
52,432,0,191,244,0.07155354817679217,17585,0.40782122905027934,6_mask_052.png,6_crop_052.jpg
