epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,58.7512,0.89152,2.06489,1.2607,0.7313,0.51238,0.76361,0.51918,1.68583,1.57655,1.37353,2.82082e-05,2.82082e-05,2.82082e-05
40,60.3745,0.73416,1.09448,1.07857,0.7313,0.51238,0.76361,0.51918,1.68583,1.57655,1.37353,2.84911e-05,2.84911e-05,2.84911e-05
41,61.8914,1.08095,1.95445,1.46513,0.73105,0.5,0.6538,0.42614,1.70197,1.61143,1.38707,2.87504e-05,2.87504e-05,2.87504e-05
42,63.3141,0.88291,1.16758,1.27208,0.73105,0.5,0.6538,0.42614,1.70197,1.61143,1.38707,2.89861e-05,2.89861e-05,2.89861e-05
43,64.8274,0.68935,0.81569,1.03485,0.57345,0.514,0.63205,0.40237,1.70123,1.63823,1.39316,2.91983e-05,2.91983e-05,2.91983e-05
44,66.2614,0.85353,1.15593,1.22877,0.57345,0.514,0.63205,0.40237,1.70123,1.63823,1.39316,2.93869e-05,2.93869e-05,2.93869e-05
45,67.758,0.6626,0.95922,1.17633,0.79258,0.49481,0.62012,0.38342,1.72506,1.69664,1.40549,2.9552e-05,2.9552e-05,2.9552e-05
46,69.2586,0.70475,0.93447,1.02815,0.79258,0.49481,0.62012,0.38342,1.72506,1.69664,1.40549,2.96935e-05,2.96935e-05,2.96935e-05
47,70.7682,0.77607,0.94526,1.07372,0.78444,0.49689,0.54366,0.32582,1.72862,1.76266,1.4085,2.98114e-05,2.98114e-05,2.98114e-05
48,72.2015,0.70258,0.87094,1.15639,0.78444,0.49689,0.54366,0.32582,1.72862,1.76266,1.4085,2.99058e-05,2.99058e-05,2.99058e-05
49,73.8551,1.00423,1.32048,1.4086,0.77447,0.49819,0.53115,0.3132,1.73502,1.79593,1.41917,2.99766e-05,2.99766e-05,2.99766e-05
50,75.273,1.00044,1.56879,1.40652,0.77447,0.49819,0.53115,0.3132,1.73502,1.79593,1.41917,3.00238e-05,3.00238e-05,3.00238e-05
