id,x,y,w,h,score,area,energy,mask_file,crop
0,0,0,640,640,0.6240893554672263,255627,0.19960278053624628,3_mask_000.png,3_crop_000.jpg
1,0,0,640,640,0.623024902342229,255191,0.20120927107826672,3_mask_001.png,3_crop_001.jpg
2,0,117,269,239,0.10281738281224898,42114,0.26186830015313933,3_mask_002.png,3_crop_002.jpg
3,0,117,269,239,0.0932226562497724,38184,0.2995090016366612,3_mask_003.png,3_crop_003.jpg
4,0,92,312,308,0.07102783203107658,29093,0.3264033264033264,3_mask_004.png,3_crop_004.jpg
5,141,0,499,157,0.13847167968716192,56718,0.3333333333333333,3_mask_005.png,3_crop_005.jpg
6,0,117,269,218,0.07821289062480904,32036,0.33695652173913043,3_mask_006.png,3_crop_006.jpg
7,141,0,499,157,0.12028320312470633,49268,0.3375,3_mask_007.png,3_crop_007.jpg
8,0,117,269,228,0.0645092773435925,26423,0.34393638170974156,3_mask_008.png,3_crop_008.jpg
9,0,92,312,308,0.08875488281228332,36354,0.3472,3_mask_009.png,3_crop_009.jpg
10,0,0,595,350,0.13718261718716507,56190,0.350597609561753,3_mask_010.png,3_crop_010.jpg
11,0,117,314,496,0.15479248046837207,63403,0.35160905840286055,3_mask_011.png,3_crop_011.jpg
12,0,117,269,334,0.07474853515606751,30617,0.35346358792184723,3_mask_012.png,3_crop_012.jpg
13,0,95,640,545,0.39425292968653747,161486,0.35750251762336355,3_mask_013.png,3_crop_013.jpg
14,37,92,275,308,0.065129394531091,26677,0.36574074074074076,3_mask_014.png,3_crop_014.jpg
15,0,117,417,523,0.18459228515579934,75609,0.36875,3_mask_015.png,3_crop_015.jpg
16,0,117,269,283,0.06715087890608605,27505,0.3694029850746269,3_mask_016.png,3_crop_016.jpg
17,0,117,269,218,0.05387939453111846,22069,0.36961451247165533,3_mask_017.png,3_crop_017.jpg
18,0,117,269,168,0.05991943359360371,24543,0.371007371007371,3_mask_018.png,3_crop_018.jpg
19,0,95,286,305,0.08465087890604334,34673,0.3769911504424779,3_mask_019.png,3_crop_019.jpg
20,141,0,499,150,0.12256835937470076,50204,0.3776223776223776,3_mask_020.png,3_crop_020.jpg
21,0,92,407,548,0.22234130859320717,91071,0.3782178217821782,3_mask_021.png,3_crop_021.jpg
22,0,117,407,523,0.19708007812451883,80724,0.38823529411764707,3_mask_022.png,3_crop_022.jpg
23,0,117,269,218,0.04764404296863368,19515,0.38847117794486213,3_mask_023.png,3_crop_023.jpg
24,0,117,269,283,0.05935302734360509,24311,0.39183673469387753,3_mask_024.png,3_crop_024.jpg
25,0,92,312,296,0.0612353515623505,25082,0.3951219512195122,3_mask_025.png,3_crop_025.jpg
26,62,92,250,308,0.060883789062351354,24938,0.41353383458646614,3_mask_026.png,3_crop_026.jpg
27,62,126,207,274,0.040842285156150286,16729,0.42441860465116277,3_mask_027.png,3_crop_027.jpg
28,62,126,207,219,0.0301464843749264,12348,0.4253731343283582,3_mask_028.png,3_crop_028.jpg
